tweet_id,text,intent,multi_issue,context_required,note,confidence,final_intent,final_multi_issue,final_context_required,reviewer_note,reviewed
287457,@AppleSupport eine Frage: wie soll ich meine EarPods 🎧 mit Lightning Anschluss am MacBook 💻 benutzen?,FEATURE_SETTINGS,No,No,"How-to question about using Lightning EarPods with a MacBook; ambiguous, could also be read as a hardware-compatibility question.",0.5,FEATURE_SETTINGS,No,No,"Asks how to use Lightning EarPods with a MacBook, a device-usage settings question.",yes
291431,"@AppleSupport I am an Apple Music user. There is nothing you can do. Apple Music and iTunes are just poorly implemented. Working as designed, just poorly.",APPLE_SERVICE_ISSUE,No,No,"General dissatisfaction with Apple Music/iTunes quality; no concrete symptom given, so this is a vague complaint.",0.55,APPLE_SERVICE_ISSUE,No,No,"General frustration with Apple Music/iTunes quality, without naming a specific technical symptom.",yes
294361,"@AppleSupport why does my iPhone cable intermittently cause my phone to come up with the message, #thisaccessoryisnotsuppotted? #frustrated",HARDWARE_REPAIR,No,No,'Accessory not supported' errors are typically tied to a cable/port hardware fault.,0.55,HARDWARE_REPAIR,No,No,The 'accessory not supported' message tied to a cable is a hardware fault.,yes
307807,@NikeSupport @AppleSupport Nike says the new apple Nike watch doesn't partner with apple's activity app so it doesn't record splits in activity.  fix pls,FEATURE_SETTINGS,No,No,Activity app not recording data from a paired watch; ambiguous with APPLE_SERVICE_ISSUE (service/sync).,0.5,FEATURE_SETTINGS,No,No,"Describes the Activity app failing to record data from a paired watch, an app/settings problem.",yes
310822,"I want to thank @AppleSupport. I bought my #ipadpro in July bc updates slowed my 4. Now, #iOS11 is chewing up my battery. Thx for everything",IOS_UPDATE_ISSUE,No,No,Battery drain explicitly attributed to iOS11.,0.7,IOS_UPDATE_ISSUE,No,No,Battery drain is explicitly attributed to installing iOS 11.,yes
332476,"Oi @AppleSupport , i’m currently experiencing HEAVY lags since I’ve done the iOS 11 update... what happens now?",IOS_UPDATE_ISSUE,No,No,Explicit causation: 'HEAVY lags since I've done the iOS 11 update.',0.9,IOS_UPDATE_ISSUE,No,No,Heavy lag is explicitly described as starting after the iOS 11 update.,yes
356807,Is anyone else’s iPad / iPhone capitalising random Words? FFs. @AppleSupport,FEATURE_SETTINGS,No,No,Autocorrect/capitalization behavior bug.,0.75,FEATURE_SETTINGS,No,No,Random word capitalization is an autocorrect/keyboard settings behavior.,yes
388933,@AppleSupport I’m listening to music and I can’t change the song with my music tab because it’s stuck on that and my volume doesn’t show when I press the,FEATURE_SETTINGS,No,No,Lock-screen music/volume controls unresponsive; ambiguous with APPLE_SERVICE_ISSUE since it's while using Apple Music.,0.5,FEATURE_SETTINGS,No,No,"Music tab and volume controls being unresponsive describes stuck on-screen controls, a settings issue.",yes
390470,@AppleSupport para de sabotar meu iPhone 5s só pq vcs lançaram o 8... não aguento mais esse lag no insta é no Twitter 😔,DEVICE_PERFORMANCE,No,No,General lag complaint on an older device; no explicit update causation stated.,0.6,DEVICE_PERFORMANCE,No,No,General lag complaint on an older iPhone with no update explicitly blamed.,yes
394096,@AppleSupport Sent you a DM,CONTEXT_REQUIRED,No,Yes,'Sent you a DM' is a pure conversational follow-up.,0.9,CONTEXT_REQUIRED,No,Yes,'Sent you a DM' is a pure conversational follow-up with no issue described.,yes
404116,@211652 @AppleSupport @115858 I have to keep locking and unlocking again to see if apps have reappeared lol,DEVICE_PERFORMANCE,No,No,"Describes app icons disappearing/reappearing from the home screen, a known iOS glitch.",0.55,DEVICE_PERFORMANCE,No,No,"Describes app icons vanishing and reappearing after locking/unlocking, a device performance glitch.",yes
410513,@applesupport MacPro 2013. Yosemite. iTunes 12.7.,CONTEXT_REQUIRED,No,Yes,"Bare device/OS/software version info, almost certainly answering a prior diagnostic question.",0.85,CONTEXT_REQUIRED,No,Yes,"Only lists device, OS, and iTunes versions, reading as an answer to a prior diagnostic question.",yes
432366,@AppleSupport I don’t mean to sound rude but it’s not going to resolve things? My battery is healthy! It’s ever since ios11 update and it’s a joke,IOS_UPDATE_ISSUE,No,No,Battery issue explicitly tied to 'ever since ios11 update.',0.75,IOS_UPDATE_ISSUE,No,No,Battery problem is explicitly said to have started 'ever since ios11 update.',yes
434653,@AppleSupport Merhaba Telefonumu güncelledim fakat apple kimliğimi hatırlamıyorum,ACCOUNT_LOGIN,No,No,"Core problem stated is forgetting the Apple ID; the update mention is just context, not the stated cause.",0.75,ACCOUNT_LOGIN,No,No,States forgetting the Apple ID as the actual problem; the update is only context.,yes
445970,@AppleSupport Hello? #Apple Hello...???,UNKNOWN_ESCALATE,No,No,No topic or issue content at all -- just repeated greetings.,0.4,UNKNOWN_ESCALATE,No,No,"Only repeated greetings with no topic or issue mentioned, so intent can't be determined.",yes
481738,"@AppleSupport watchOS 4.1, iOS 11.1.2 (both latest versions)",CONTEXT_REQUIRED,No,Yes,"Bare OS version numbers, answering a prior question.",0.85,CONTEXT_REQUIRED,No,Yes,"Just lists OS version numbers, which only makes sense as an answer to an earlier question.",yes
487900,@AppleSupport Good question. It’s happened at work and at home so always connected to wifi. I never try to update using my data.,CONTEXT_REQUIRED,No,Yes,Answers a prior question about network conditions ('always connected to wifi') without restating the underlying issue.,0.7,CONTEXT_REQUIRED,No,Yes,Answers a question about network conditions without ever stating what the original problem was.,yes
498553,"@AppleSupport I’m on iPhone 7+, listening to Apple Music. It was fine a few days ago, not sure what I’ve done to change the settings",CONTEXT_REQUIRED,No,Yes,'Not sure what I've done to change the settings' -- the actual symptom is never named; Apple Music mention hints at APPLE_SERVICE_ISSUE.,0.55,CONTEXT_REQUIRED,No,Yes,"Says something changed but never names the symptom, only that settings 'changed.'",yes
570191,"@AppleSupport I am using iOS 11.0.1 in my iPhone 6s. Apps crashing, voice call problem, iPhone getting hung. Kindly suggest",DEVICE_PERFORMANCE,Yes,No,Lists apps crashing and iPhone hanging (performance) plus a separate voice-call problem (connectivity) -- two distinct root issues.,0.6,DEVICE_PERFORMANCE,Yes,No,Lists apps crashing/hanging (performance) together with a separate voice-call problem (connectivity) as two issues.,yes
571870,@AppleSupport Thanks! It fixed it,CONTEXT_REQUIRED,No,Yes,"'Thanks! It fixed it' -- pure follow-up, no issue content.",0.95,CONTEXT_REQUIRED,No,Yes,'Thanks! It fixed it' confirms a fix without saying what was wrong.,yes
578773,"@AppleSupport well apple officially shit now, phone won’t stay connected to the WiFi.",NETWORK_CONNECTIVITY,No,No,Explicit Wi-Fi connection problem.,0.9,NETWORK_CONNECTIVITY,No,No,Explicitly reports the phone won't stay connected to WiFi.,yes
584720,"@AppleSupport please, fix app Weather in iOS 11 for iPhone.",FEATURE_SETTINGS,No,No,Asks to fix the Weather app in iOS 11; ambiguous whether the update itself is blamed (IOS_UPDATE_ISSUE) or it's a standalone app bug.,0.5,FEATURE_SETTINGS,No,No,"Asks to fix the Weather app in iOS 11, an app-behavior settings request.",yes
588048,"@AppleSupport it‘s 2017, I use up to 40gig mobile data per month bc it‘s unlimited, but Apple still not lets us do our iCloud-backup via mobile data? why?",APPLE_SERVICE_ISSUE,No,No,Question about iCloud backup over mobile data -- an iCloud service limitation.,0.6,APPLE_SERVICE_ISSUE,No,No,"Questions why iCloud backup won't run over mobile data, an iCloud service limitation.",yes
619368,@AppleSupport Sorry for delay. OSX 10.9.5,CONTEXT_REQUIRED,No,Yes,Bare OS version reply to a prior diagnostic question.,0.85,CONTEXT_REQUIRED,No,Yes,"Just an OS version number, apparently answering a previous diagnostic question.",yes
620218,"I’m just tryna listen to my Apple Music but it won’t log me in, this is like 3 weeks now cmon man @AppleSupport",ACCOUNT_LOGIN,No,No,Explicit 'won't log me in' sign-in failure; ambiguous with APPLE_SERVICE_ISSUE since it's specific to the Apple Music app.,0.55,ACCOUNT_LOGIN,No,No,"Explicitly says Apple Music 'won't log me in,' a sign-in failure.",yes
637413,@AppleSupport @271136 Same here with my 6 Plus. It hates this new update with a passion. And my battery life is now awful (?),IOS_UPDATE_ISSUE,No,No,Battery life problem explicitly tied to 'this new update.',0.8,IOS_UPDATE_ISSUE,No,No,Poor battery life is explicitly blamed on 'this new update.',yes
656342,"@AppleSupport why do my ""I""s become question marks even though I updated my phone",FEATURE_SETTINGS,No,No,"The well-known 'I' autocorrect bug; causation to the update is implied but not explicitly asserted here, so kept as a keyboard/feature bug rather than IOS_UPDATE_ISSUE.",0.55,FEATURE_SETTINGS,No,No,"Describes the 'I' autocorrect bug without stating the update caused it, so it reads as a keyboard/feature issue.",yes
706890,BIG HELP : est-ce que quelqu'un sait comment récupérer les documents après une déconnexion ICloud ? J'ai tout perdu .. @AppleSupport ?,ACCOUNT_LOGIN,No,No,Root cause stated is an iCloud disconnection/sign-out; ambiguous with APPLE_SERVICE_ISSUE since the resulting harm is lost documents.,0.5,ACCOUNT_LOGIN,No,No,States an iCloud sign-out/disconnection as the cause of losing access to documents.,yes
752184,@AppleSupport verifying emails is all that comes up.  won't allow anything else,ACCOUNT_LOGIN,No,No,"Stuck on an email-verification screen, likely an Apple ID verification loop, but text is thin on detail.",0.45,ACCOUNT_LOGIN,No,No,"Stuck on an email-verification screen that blocks further progress, an Apple ID sign-in step.",yes
768318,@AppleSupport any way I can know my iphone hardware health?,FEATURE_SETTINGS,No,No,"Asking how to check hardware health via a diagnostics feature, not reporting damage; ambiguous with HARDWARE_REPAIR.",0.5,FEATURE_SETTINGS,No,No,"Asks how to check hardware health via a phone feature, not reporting actual damage.",yes
791619,@AppleSupport My phone has been stuck on the white update screen for an hour and its getting really hot.,IOS_UPDATE_ISSUE,No,No,"Classic stuck-on-update-screen failure; overheating is a symptom of the same stuck update, not a separate issue.",0.85,IOS_UPDATE_ISSUE,No,No,Being stuck on the update screen and overheating are both symptoms of a failed update.,yes
803124,@AppleSupport Okay thank you....,CONTEXT_REQUIRED,No,Yes,'Okay thank you....' -- pure acknowledgement.,0.95,CONTEXT_REQUIRED,No,Yes,'Okay thank you....' is a closing acknowledgement with no issue detail.,yes
805630,@AppleSupport Charged all the way to 100% last night. Somehow already at 68%. No apps opened.,BATTERY_CHARGING,No,No,Unexplained rapid battery drain with no apps open.,0.85,BATTERY_CHARGING,No,No,"Reports rapid, unexplained battery drain with no apps open, a battery health complaint.",yes
808491,"@AppleSupport 
Do you have a desktop application for Windows10 which manages calender on iCloud?
I don't like Web app.",APPLE_SERVICE_ISSUE,No,No,Question about a Windows iCloud calendar client; borderline FEATURE_SETTINGS/product-availability question rather than a reported bug.,0.55,APPLE_SERVICE_ISSUE,No,No,"Asks whether a desktop iCloud calendar app exists for Windows, a service-availability question.",yes
850662,"@AppleSupport Maybe a pic helps? Not very impressed w/changes to editing photos, does not work as well as before guys. Wish you asked me to test this 😞 https://t.co/NeICJ7F4W1",FEATURE_SETTINGS,No,No,Complaint about the Photos editing experience after a change.,0.6,FEATURE_SETTINGS,No,No,"Complains that photo editing changed and now works worse, a feature/UI complaint.",yes
851749,@AppleSupport why does my watch do this with push notifications https://t.co/rPcKlWObEZ,FEATURE_SETTINGS,No,No,Apple Watch push-notification behavior; relies partly on an attached image ('do this') for full detail.,0.55,FEATURE_SETTINGS,No,No,"Asks about odd Apple Watch push-notification behavior, a feature-behavior question.",yes
868836,Stop automatically turning on my WiFi &amp; Bluetooth @AppleSupport @115858,NETWORK_CONNECTIVITY,No,No,"Wi-Fi and Bluetooth auto-enabling; both are the same connectivity-toggle behavior, not two separate root problems.",0.85,NETWORK_CONNECTIVITY,No,No,"Complains WiFi and Bluetooth keep turning on automatically, a connectivity toggle problem.",yes
873867,@AppleSupport The most recent update 11.0.3,CONTEXT_REQUIRED,No,Yes,Bare update-version reply to a prior question.,0.85,CONTEXT_REQUIRED,No,Yes,"Only states an update version number, apparently answering a prior question.",yes
883600,@AppleSupport @115858 votre mise à jour 11.0.3 elle rend fou. Mon 6S+ bug comme jamais il a bugger. Pour écrire c’est devenu une horreur,IOS_UPDATE_ISSUE,No,No,Explicit causation: 11.0.3 update is blamed for general device bugginess and typing problems.,0.75,IOS_UPDATE_ISSUE,No,No,General bugginess and typing problems are explicitly blamed on the 11.0.3 update.,yes
912831,@AppleSupport Well it updates automatically. I have no idea what tvOS is.,CONTEXT_REQUIRED,No,Yes,Answers a prior question ('what is tvOS') without describing any issue of its own.,0.8,CONTEXT_REQUIRED,No,Yes,Answers a question about tvOS without describing any issue of its own.,yes
925576,@AppleSupport Why is iOS 11.0.3 so slow and laggy on my 6s? It’s frustrating. 😒,IOS_UPDATE_ISSUE,No,No,Slow/laggy behavior explicitly tied to iOS 11.0.3.,0.85,IOS_UPDATE_ISSUE,No,No,"Slow, laggy behavior is explicitly attributed to iOS 11.0.3.",yes
958902,@AppleSupport what’s wrong with iOS 11 😒😒 https://t.co/l9kOb3Y6WI,IOS_UPDATE_ISSUE,No,No,Vague general complaint about iOS 11 with no specific symptom named.,0.5,IOS_UPDATE_ISSUE,No,No,Vague complaint about iOS 11 with no specific symptom named.,yes
992089,Atualizei pro iOS 11.0.3 e agora meu celular tá parecendo um ferro de passar roupa. Ajuda nós aí @AppleSupport @115858,IOS_UPDATE_ISSUE,No,No,Overheating explicitly tied to updating to iOS 11.0.3.,0.8,IOS_UPDATE_ISSUE,No,No,Overheating is explicitly described as starting after updating to iOS 11.0.3.,yes
995548,@AppleSupport For clarification I’m on a 5s and had it checked at a store last week before I updated and was told it’s fine.,CONTEXT_REQUIRED,No,Yes,Clarifying detail about a prior store visit; does not restate the current problem.,0.75,CONTEXT_REQUIRED,No,Yes,Adds a clarifying detail about a prior store visit without restating the actual problem.,yes
998355,@AppleSupport update to 11.0.3 iTunes 2 phones. Get 4000 error &amp; loose phone in iTunes. Plug in phone again. Try install. 1 Success 1 fail.,IOS_UPDATE_ISSUE,No,No,Explicit update installation failure with an iTunes error code.,0.85,IOS_UPDATE_ISSUE,No,No,"Describes an iTunes error code during an update install, an update-process failure.",yes
1002295,@AppleSupport Oops 11.0.3. Chunky fingers syndrome......,CONTEXT_REQUIRED,No,Yes,Appears to be a correction/clarification reply ('Oops 11.0.3...') rather than a new problem report.,0.75,CONTEXT_REQUIRED,No,Yes,Reads as a correction to a prior message ('Oops 11.0.3') rather than a new problem report.,yes
1030443,Apple! Can you please provide FT voicemails with this next update! @115858 @AppleSupport,FEATURE_SETTINGS,No,No,A feature request (FaceTime voicemail) rather than a reported bug; closest category is FEATURE_SETTINGS.,0.5,FEATURE_SETTINGS,No,No,"Requests a new FaceTime voicemail feature, a feature request rather than a bug report.",yes
1044426,"@AppleSupport With itunes 12.7, how do I mess with my ringtones and things removed from itunes? My phone still uses ios 9.",APPLE_SERVICE_ISSUE,No,No,Ringtone/management question tied to iTunes; ambiguous with FEATURE_SETTINGS.,0.5,APPLE_SERVICE_ISSUE,No,No,"Asks how to manage ringtones through iTunes, a media-service management question.",yes
1049033,"Scam email $AAPL
@AppleSupport https://t.co/vngFbyd5a6",UNKNOWN_ESCALATE,No,No,Reporting a phishing/scam email; not covered cleanly by any category in the taxonomy.,0.4,UNKNOWN_ESCALATE,No,No,"Reports a scam email referencing Apple, which doesn't fit any device or account category.",yes
1069921,@AppleSupport I think I’m even more insulted now. Do you not realize anyone who upgraded to iOS 11 has terrible battery life w/ a freezing phone?,IOS_UPDATE_ISSUE,No,No,"Battery life and freezing both explicitly attributed to upgrading to iOS 11 -- one root cause, two symptoms.",0.85,IOS_UPDATE_ISSUE,No,No,Battery drain and freezing are both explicitly attributed to upgrading to iOS 11.,yes
1072753,@AppleSupport MacOS Sierra 10.12.6. I have 1.6ghz i5 MacBook Air - had good battery life until the past week or so but getting worse.... &amp; today terrible!,BATTERY_CHARGING,No,No,Progressive battery-life degradation over the past week; no update causation stated.,0.8,BATTERY_CHARGING,No,No,Describes battery life steadily worsening over the past week with no update mentioned.,yes
1076333,"@AppleSupport Apple Music is playing fine in the background. But on the lock screen, it looks like this. Have to unlock and go into the app to skip etc. https://t.co/gFnO10eQhC",APPLE_SERVICE_ISSUE,No,No,Apple Music lock-screen playback controls not functioning correctly.,0.7,APPLE_SERVICE_ISSUE,No,No,"Apple Music lock-screen controls not working properly during playback, an app/service issue.",yes
1086850,"@AppleSupport I've been trying to get my ""head start"" upgrading to iPhone X on the iPhone Upgrade Program, but no luck. Help/tips?",PURCHASE_BILLING,No,No,Trouble enrolling/upgrading via the iPhone Upgrade Program -- a purchase-program issue.,0.65,PURCHASE_BILLING,No,No,Trouble enrolling in the iPhone Upgrade Program is a purchase-program issue.,yes
1153881,@AppleSupport This is strange. iOs 11.0.3 is slow relatively and buggy.,IOS_UPDATE_ISSUE,No,No,Slow/buggy behavior explicitly tied to iOS 11.0.3.,0.8,IOS_UPDATE_ISSUE,No,No,Slow and buggy behavior is explicitly attributed to iOS 11.0.3.,yes
1156758,Any ideas why these folders have recently appeared in my Mailboxes view in iOS? Not selected / can’t remove #iPhone #Mail @AppleSupport https://t.co/6T9C9E54h6,FEATURE_SETTINGS,No,No,Unexpected Mail app folders appearing/not removable -- app UI behavior.,0.65,FEATURE_SETTINGS,No,No,Unexpected folders appearing in Mail that can't be removed is an app behavior issue.,yes
1174766,@AppleSupport any reason why the health app will no longer give me a real time view of steps with the newest OS update?,IOS_UPDATE_ISSUE,No,No,Health app regression explicitly tied to 'the newest OS update.',0.75,IOS_UPDATE_ISSUE,No,No,Loss of real-time step tracking in Health is explicitly tied to the newest OS update.,yes
1180107,@AppleSupport iPhone 7,CONTEXT_REQUIRED,No,Yes,Bare device-model reply to a prior question.,0.9,CONTEXT_REQUIRED,No,Yes,"Just a device model name, apparently answering a prior question.",yes
1180585,iOS 11 is aids @AppleSupport everything is super slow now,IOS_UPDATE_ISSUE,No,No,Slowness explicitly tied to iOS 11.,0.85,IOS_UPDATE_ISSUE,No,No,Slowness across the device is explicitly attributed to iOS 11.,yes
1202037,"@AppleSupport after iOS update iCloud does not accept new password, after having to re-der it again (!) cannot sign out on phone.",IOS_UPDATE_ISSUE,No,No,"iCloud password/sign-out problem is explicitly tied to 'after iOS update'; ambiguous with ACCOUNT_LOGIN since the affected domain is sign-in, not general device behavior.",0.55,IOS_UPDATE_ISSUE,No,No,iCloud password and sign-out problems are explicitly described as starting after an iOS update.,yes
1223952,"@AppleSupport The latest update has my iPhone 6 acting wonky;phone and apps freeze, time doesn’t show on home screen. Help pls!",IOS_UPDATE_ISSUE,No,No,Freezing and a clock-display bug both explicitly tied to 'the latest update' -- one root cause.,0.85,IOS_UPDATE_ISSUE,No,No,Freezing and a broken clock display are both blamed on 'the latest update.',yes
1235659,@AppleSupport It started happening recently. And battery life has started recently too. I don’t have many apps. And I don’t have Bluetooth on either,CONTEXT_REQUIRED,No,Yes,'It started happening recently' -- the core issue ('it') is unnamed even though battery is also mentioned; needs prior context to resolve which is primary.,0.55,CONTEXT_REQUIRED,No,Yes,Says 'it' and battery issues both started recently without ever naming what 'it' is.,yes
1273601,@115858 @118936 @AppleSupport any audio quality issues for #Iphone8+? Especially phone calls!,NETWORK_CONNECTIVITY,No,No,Audio-quality-on-calls question; ambiguous with HARDWARE_REPAIR (speaker/mic).,0.55,NETWORK_CONNECTIVITY,No,No,"Asks about call audio quality issues, framed as a connectivity/call-quality question.",yes
1275152,"@AppleSupport still having trouble with my apple music app, telling me i have no membership when I renewed it last week",PURCHASE_BILLING,No,No,Apple Music not recognizing a renewed membership -- a subscription/billing recognition issue; ambiguous with APPLE_SERVICE_ISSUE.,0.6,PURCHASE_BILLING,No,No,Apple Music not recognizing a membership renewed last week is a billing-recognition problem.,yes
1276301,@AppleSupport a small line across my screen will not respond to touch on my iphone 5s. how do i fix it?,HARDWARE_REPAIR,No,No,Physically unresponsive screen area -- a hardware defect.,0.8,HARDWARE_REPAIR,No,No,A touch-unresponsive screen line is a physical display defect.,yes
1327383,@AppleSupport what’s happening with my phone? I️ can’t type I️ but I️ checked the keyboard setting and all is fine https://t.co/BYNR5AAvOW,FEATURE_SETTINGS,No,No,"The 'I' autocorrect bug; user confirms keyboard settings look normal, pointing to a software bug rather than misconfiguration.",0.7,FEATURE_SETTINGS,No,No,"Can't type 'I' even though keyboard settings look normal, pointing to a software/feature bug.",yes
1335282,@AppleSupport since the new IOS is there a problem with my iPhone 6 . the screen freezes a lot . And i can't do anything . The phone is also very hot than,IOS_UPDATE_ISSUE,No,No,"Screen freezing and overheating both explicitly tied to 'the new IOS' -- one root cause, two symptoms.",0.8,IOS_UPDATE_ISSUE,No,No,Screen freezing and overheating are both explicitly tied to installing the new iOS.,yes
1339781,"@AppleSupport my headset stopped working but my iphone is under warranty, can I bring it in the store to change? 😭",HARDWARE_REPAIR,No,No,"Broken headset accessory, asking about in-store warranty replacement.",0.85,HARDWARE_REPAIR,No,No,A broken headset accessory under warranty is a physical hardware repair question.,yes
1342673,@AppleSupport Can you explain the reserved but we need to contact your carrier thing? Is my spot held from 3am this morning?,PURCHASE_BILLING,No,No,Question about a pre-order/reservation hold status.,0.55,PURCHASE_BILLING,No,No,"Asks about a pre-order reservation hold, a purchase-status question.",yes
1349519,ios 11.0.3... wtf?! @AppleSupport Embarrasing! This is way slower then the original ios to the first iphone.,IOS_UPDATE_ISSUE,No,No,Slowness explicitly tied to iOS 11.0.3.,0.85,IOS_UPDATE_ISSUE,No,No,Slower performance is explicitly attributed to iOS 11.0.3.,yes
1350647,@AppleSupport @434941 Have any idea when there will be an unlocked version of iPhone X?,PURCHASE_BILLING,No,No,"Pre-purchase availability question (unlocked iPhone X), not a reported problem.",0.55,PURCHASE_BILLING,No,No,"Asks when an unlocked iPhone X will be available, a pre-purchase availability question.",yes
1355457,@AppleSupport had the wrong payment on my preorder. If I update my iTunes payment method. It will charge that card yea?,PURCHASE_BILLING,No,No,Payment method question tied to a pre-order charge.,0.85,PURCHASE_BILLING,No,No,"Asks whether updating a payment method will affect a pre-order charge, a billing question.",yes
1364809,@AppleSupport No I do not just this phone has problems connecting,NETWORK_CONNECTIVITY,No,No,"'This phone has problems connecting' -- explicit connectivity complaint, though opens with a reply fragment ('No I do not').",0.65,NETWORK_CONNECTIVITY,No,No,Explicitly states the phone 'has problems connecting.',yes
1364831,@AppleSupport Thanks 🙏🏼,CONTEXT_REQUIRED,No,Yes,'Thanks' with an emoji -- pure acknowledgement.,0.95,CONTEXT_REQUIRED,No,Yes,A bare 'Thanks' with no issue content.,yes
1388000,@AppleSupport #TodayatApple I came across a really rude member of staff,UNKNOWN_ESCALATE,No,No,Complaint about rude in-store staff behavior; not a technical issue covered by the taxonomy.,0.45,UNKNOWN_ESCALATE,No,No,Complaint about rude in-store staff behavior isn't a technical issue covered by any category.,yes
1400552,@AppleSupport No. See it as a picture.,CONTEXT_REQUIRED,No,Yes,References an attached picture ('see it as a picture') with no other content.,0.85,CONTEXT_REQUIRED,No,Yes,"Points to an attached picture as the explanation, with no text description of the issue.",yes
1406608,"@AppleSupport I thought it was a default app, and could therefor not be deleted. Anyway. Thank you!",CONTEXT_REQUIRED,No,Yes,References 'it' (an app) from prior conversation; closing/thank-you tone.,0.8,CONTEXT_REQUIRED,No,Yes,Thanks the support account and references 'it' (an app) from a conversation not shown here.,yes
1408173,.@AppleSupport My schedule is everything to my business. Please fix this issue of not saving schedule changes. https://t.co/kjy7VZmQga,FEATURE_SETTINGS,No,No,Calendar/schedule app not saving changes; ambiguous with APPLE_SERVICE_ISSUE if iCloud sync is the underlying cause.,0.55,FEATURE_SETTINGS,No,No,Schedule changes not saving is a calendar app/settings functionality issue.,yes
1412578,@AppleSupport 11.1 the most recent one.,CONTEXT_REQUIRED,No,Yes,Bare update-version reply to a prior question.,0.85,CONTEXT_REQUIRED,No,Yes,"Only names an update version, apparently answering a prior question.",yes
1446458,@AppleSupport It's a replacement set that you all sent me a few months ago,CONTEXT_REQUIRED,No,Yes,References 'a replacement set' from a prior conversation without naming the device/accessory.,0.8,CONTEXT_REQUIRED,No,Yes,References a previously sent 'replacement set' without naming what device or accessory it is.,yes
1446487,"@AppleSupport iOS 11.1
Tried all, even got it restored from Apple store. Still not resolved",CONTEXT_REQUIRED,No,Yes,'Tried all... still not resolved' -- the underlying issue is not restated in this message.,0.7,CONTEXT_REQUIRED,No,Yes,Says the issue is 'still not resolved' after troubleshooting without restating what it is.,yes
1454567,"@AppleSupport my phone has a few days after updating to iOS 11.3 is ""locking""",IOS_UPDATE_ISSUE,No,No,Device 'locking' explicitly tied to updating to iOS 11.3.,0.75,IOS_UPDATE_ISSUE,No,No,The phone 'locking' issue is explicitly said to have started after updating to iOS 11.3.,yes
