tweet_id,text,final_intent,rule_prediction,final_multi_issue,final_context_required,failure_explanation
620218,"I’m just tryna listen to my Apple Music but it won’t log me in, this is like 3 weeks now cmon man @AppleSupport",ACCOUNT_LOGIN,APPLE_SERVICE_ISSUE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted APPLE_SERVICE_ISSUE.
637413,@AppleSupport @271136 Same here with my 6 Plus. It hates this new update with a passion. And my battery life is now awful (?),IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
656342,"@AppleSupport why do my ""I""s become question marks even though I updated my phone",FEATURE_SETTINGS,IOS_UPDATE_ISSUE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted IOS_UPDATE_ISSUE.
706890,BIG HELP : est-ce que quelqu'un sait comment récupérer les documents après une déconnexion ICloud ? J'ai tout perdu .. @AppleSupport ?,ACCOUNT_LOGIN,UNKNOWN_ESCALATE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted UNKNOWN_ESCALATE.
752184,@AppleSupport verifying emails is all that comes up.  won't allow anything else,ACCOUNT_LOGIN,UNKNOWN_ESCALATE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted UNKNOWN_ESCALATE.
768318,@AppleSupport any way I can know my iphone hardware health?,FEATURE_SETTINGS,HARDWARE_REPAIR,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted HARDWARE_REPAIR.
791619,@AppleSupport My phone has been stuck on the white update screen for an hour and its getting really hot.,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
805630,@AppleSupport Charged all the way to 100% last night. Somehow already at 68%. No apps opened.,BATTERY_CHARGING,PURCHASE_BILLING,No,No,Expected BATTERY_CHARGING but rule-based classifier predicted PURCHASE_BILLING.
808491,"@AppleSupport 
Do you have a desktop application for Windows10 which manages calender on iCloud?
I don't like Web app.",APPLE_SERVICE_ISSUE,FEATURE_SETTINGS,No,No,Expected APPLE_SERVICE_ISSUE but rule-based classifier predicted FEATURE_SETTINGS.
850662,"@AppleSupport Maybe a pic helps? Not very impressed w/changes to editing photos, does not work as well as before guys. Wish you asked me to test this 😞 https://t.co/NeICJ7F4W1",FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
851749,@AppleSupport why does my watch do this with push notifications https://t.co/rPcKlWObEZ,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
873867,@AppleSupport The most recent update 11.0.3,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
883600,@AppleSupport @115858 votre mise à jour 11.0.3 elle rend fou. Mon 6S+ bug comme jamais il a bugger. Pour écrire c’est devenu une horreur,IOS_UPDATE_ISSUE,UNKNOWN_ESCALATE,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted UNKNOWN_ESCALATE.
912831,@AppleSupport Well it updates automatically. I have no idea what tvOS is.,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
995548,@AppleSupport For clarification I’m on a 5s and had it checked at a store last week before I updated and was told it’s fine.,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
1002295,@AppleSupport Oops 11.0.3. Chunky fingers syndrome......,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1030443,Apple! Can you please provide FT voicemails with this next update! @115858 @AppleSupport,FEATURE_SETTINGS,IOS_UPDATE_ISSUE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted IOS_UPDATE_ISSUE.
1069921,@AppleSupport I think I’m even more insulted now. Do you not realize anyone who upgraded to iOS 11 has terrible battery life w/ a freezing phone?,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
1076333,"@AppleSupport Apple Music is playing fine in the background. But on the lock screen, it looks like this. Have to unlock and go into the app to skip etc. https://t.co/gFnO10eQhC",APPLE_SERVICE_ISSUE,HARDWARE_REPAIR,No,No,Expected APPLE_SERVICE_ISSUE but rule-based classifier predicted HARDWARE_REPAIR.
1086850,"@AppleSupport I've been trying to get my ""head start"" upgrading to iPhone X on the iPhone Upgrade Program, but no luck. Help/tips?",PURCHASE_BILLING,UNKNOWN_ESCALATE,No,No,Expected PURCHASE_BILLING but rule-based classifier predicted UNKNOWN_ESCALATE.
1156758,Any ideas why these folders have recently appeared in my Mailboxes view in iOS? Not selected / can’t remove #iPhone #Mail @AppleSupport https://t.co/6T9C9E54h6,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1180107,@AppleSupport iPhone 7,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1202037,"@AppleSupport after iOS update iCloud does not accept new password, after having to re-der it again (!) cannot sign out on phone.",IOS_UPDATE_ISSUE,ACCOUNT_LOGIN,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted ACCOUNT_LOGIN.
1235659,@AppleSupport It started happening recently. And battery life has started recently too. I don’t have many apps. And I don’t have Bluetooth on either,CONTEXT_REQUIRED,BATTERY_CHARGING,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted BATTERY_CHARGING.
1273601,@115858 @118936 @AppleSupport any audio quality issues for #Iphone8+? Especially phone calls!,NETWORK_CONNECTIVITY,UNKNOWN_ESCALATE,No,No,Expected NETWORK_CONNECTIVITY but rule-based classifier predicted UNKNOWN_ESCALATE.
1275152,"@AppleSupport still having trouble with my apple music app, telling me i have no membership when I renewed it last week",PURCHASE_BILLING,APPLE_SERVICE_ISSUE,No,No,Expected PURCHASE_BILLING but rule-based classifier predicted APPLE_SERVICE_ISSUE.
1335282,@AppleSupport since the new IOS is there a problem with my iPhone 6 . the screen freezes a lot . And i can't do anything . The phone is also very hot than,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
1342673,@AppleSupport Can you explain the reserved but we need to contact your carrier thing? Is my spot held from 3am this morning?,PURCHASE_BILLING,UNKNOWN_ESCALATE,No,No,Expected PURCHASE_BILLING but rule-based classifier predicted UNKNOWN_ESCALATE.
1350647,@AppleSupport @434941 Have any idea when there will be an unlocked version of iPhone X?,PURCHASE_BILLING,UNKNOWN_ESCALATE,No,No,Expected PURCHASE_BILLING but rule-based classifier predicted UNKNOWN_ESCALATE.
1400552,@AppleSupport No. See it as a picture.,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1408173,.@AppleSupport My schedule is everything to my business. Please fix this issue of not saving schedule changes. https://t.co/kjy7VZmQga,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1412578,@AppleSupport 11.1 the most recent one.,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1446458,@AppleSupport It's a replacement set that you all sent me a few months ago,CONTEXT_REQUIRED,HARDWARE_REPAIR,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted HARDWARE_REPAIR.
1446487,"@AppleSupport iOS 11.1
Tried all, even got it restored from Apple store. Still not resolved",CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
1467741,Hey @AppleSupport why are words with apostrophes killing the character count on texts like it’s an emoji shits dumb,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1478058,@AppleSupport why is I­t­ everytime I️ type the letter “I️”  I­t­ shoes up with an A and a question mark? I️ can’t do lowercase I️ either.,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1487460,@AppleSupport I need your help please help me out,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1488883,Wtf is this @AppleSupport is I️ https://t.co/UWh3AJsaRw,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1497016,"@AppleSupport 11.0.3 not working for Hulu, Netflix, directv, and adult swim",IOS_UPDATE_ISSUE,UNKNOWN_ESCALATE,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted UNKNOWN_ESCALATE.
1502047,Wait has @115858 @AppleSupport not said anything about the I️ issue?!,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1508683,@AppleSupport please fix this terrible glitch that turns the letter i into this situation so my awful joke can thrive,FEATURE_SETTINGS,CONTEXT_REQUIRED,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted CONTEXT_REQUIRED.
1509359,@AppleSupport Thanks. We can only change temperature unit. I want to change Wind speed and visibility to kilometers. Is it possible?,FEATURE_SETTINGS,CONTEXT_REQUIRED,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted CONTEXT_REQUIRED.
1539343,@AppleSupport Why Does My Phone Keep Turning On &amp; Off Randomly Even When It’s Fully Charged ?Causing Me To Restart What I’m Doing Over Again,BATTERY_CHARGING,PURCHASE_BILLING,No,No,Expected BATTERY_CHARGING but rule-based classifier predicted PURCHASE_BILLING.
1592368,What’s up with the weird ass boxes and text @AppleSupport,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1631172,@AppleSupport having a lot less battery life on my iPhone after the last update. Can you help me?,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
1640869,@115858 @AppleSupport @115948 @2310 I️,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1649568,@AppleSupport can you please make it so eye can type properly again? Thanks,FEATURE_SETTINGS,CONTEXT_REQUIRED,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted CONTEXT_REQUIRED.
1656155,@AppleSupport @70760,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1657308,Why my predictive texting screwed up??? @AppleSupport,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1674783,Hey @AppleSupport can you please explain why the hecking heck all my “I’s” are autocorrecting to this nonsense https://t.co/LF2WKumAT1,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1693444,All my messages just erased @AppleSupport what is going on 🤔,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1735927,@AppleSupport Starting Siri by itself,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1748070,@AppleSupport are you guys gonna fix the “I️” glitch? It’s beginning to become very annoying and I’m sure I️t wouldn’t take much to fix,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1756336,@AppleSupport  https://t.co/SZQGpDxr7s,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1773650,Fix the damn “I️” situation @115858 @AppleSupport,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1776227,"@AppleSupport Way ahead of y’all, been did that.",CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1785808,@AppleSupport Everywhere lol it’s not anywhere,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
1846041,@AppleSupport I do not have an activation key.,ACCOUNT_LOGIN,UNKNOWN_ESCALATE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted UNKNOWN_ESCALATE.
1849009,@AppleSupport As I always do on my phone with household internet.,CONTEXT_REQUIRED,NETWORK_CONNECTIVITY,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted NETWORK_CONNECTIVITY.
1862049,Cheers @AppleSupport for deleting all my notes! Not the only thing that's happened either 😒 Think it's time to switch to @125607 📱,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1973718,"Hey @AppleSupport, why is the letter “I️” showing up as “A ?” on all my devices?",FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
1990001,@AppleSupport I️ am tired of not being able to see the “I️”. All it shows is an “A” and a boxed question mark. I’m fed up.,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2015343,"@AppleSupport Does this restore the iPad to its factory settings or when it works again, does it keep everything it had when it started???",CONTEXT_REQUIRED,FEATURE_SETTINGS,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted FEATURE_SETTINGS.
2032624,Omfg now it’s with “it’s” w these ducking A ??? Lol @AppleSupport FIX IT WTF,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2050555,"@AppleSupport The service centre is in Hyderabad, India",CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2060983,@AppleSupport Example: I connect to xfinity WiFi of friends instead of getting their password. I don’t want to connect to random routers while driving,NETWORK_CONNECTIVITY,ACCOUNT_LOGIN,No,No,Expected NETWORK_CONNECTIVITY but rule-based classifier predicted ACCOUNT_LOGIN.
2071920,@AppleSupport there seems to be an issue with emails not deleting when I delete them from the lock screen or notifications screen. Any fixes coming for this?,FEATURE_SETTINGS,HARDWARE_REPAIR,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted HARDWARE_REPAIR.
2078783,@558219 @AppleSupport Like when the message comes in having it say “message” rather than show what it says,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2082052,hi @AppleSupport why cant i sign up for the plan on apple music?,PURCHASE_BILLING,APPLE_SERVICE_ISSUE,No,No,Expected PURCHASE_BILLING but rule-based classifier predicted APPLE_SERVICE_ISSUE.
2118428,@AppleSupport when you gonna fix the I,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2144089,"To be clear, the genius move @115858 @AppleSupport to fix the problem with the letter “I️” is to just not use it? I️ want my @11999 back.",FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2179474,@AppleSupport It always freezes,DEVICE_PERFORMANCE,UNKNOWN_ESCALATE,No,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted UNKNOWN_ESCALATE.
2207006,"@AppleSupport On iPhone 6s that was, with the latest iOS update.",CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
2274202,@AppleSupport i didnt plus i checked my icloud i didnt see,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2278492,"@AppleSupport my the volume buttons on my Apple earphones aren’t working, only new less then 2-3 weeks old got them with my new 8plus. Any help!! Thanks",HARDWARE_REPAIR,CONTEXT_REQUIRED,No,No,Expected HARDWARE_REPAIR but rule-based classifier predicted CONTEXT_REQUIRED.
2280958,@AppleSupport What is this crap? I’ve lots almost 600 photos from this. https://t.co/6p3hVHjfwr,APPLE_SERVICE_ISSUE,UNKNOWN_ESCALATE,No,No,Expected APPLE_SERVICE_ISSUE but rule-based classifier predicted UNKNOWN_ESCALATE.
2286869,@AppleSupport Ever since the Apple genus people factory reset my laptop If I do small things the pinwheel spins for 15 seconds before I can continue... this repeats every 30 seconds,DEVICE_PERFORMANCE,UNKNOWN_ESCALATE,No,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted UNKNOWN_ESCALATE.
2298336,@AppleSupport still waiting for my iwatch to be replaced it's been almost 45days and I haven't got any positive response from your support team.. This is so Unprofessional act,HARDWARE_REPAIR,CONTEXT_REQUIRED,No,No,Expected HARDWARE_REPAIR but rule-based classifier predicted CONTEXT_REQUIRED.
2304296,.@AppleSupport This battery drain issue is real. 100% to 55% &lt; an hour. IPhone7. No battery issues on 10.x Same phone 11.1 different story. https://t.co/q8i9EOZHjQ,IOS_UPDATE_ISSUE,BATTERY_CHARGING,No,No,Expected IOS_UPDATE_ISSUE but rule-based classifier predicted BATTERY_CHARGING.
2304376,"@668615 @115858 @AppleSupport Ja, haha. voll lustig und so. nur dass es mir null hilft.",CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2309888,"Meu celular ta todo lerdo,travando,arruma isso @AppleSupport",DEVICE_PERFORMANCE,UNKNOWN_ESCALATE,No,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted UNKNOWN_ESCALATE.
2322568,"@245886 @AppleSupport Yes right without the password,",CONTEXT_REQUIRED,ACCOUNT_LOGIN,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted ACCOUNT_LOGIN.
2336131,@AppleSupport This is why I said no to Spotify ❤️,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2425868,@AppleSupport Random,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2433994,"@AppleSupport Hi, I have iPad Pro 10.5” with iOS 11.0.3 and noticed that Youtube app often delays the sound. It’s out of sync with video.",FEATURE_SETTINGS,IOS_UPDATE_ISSUE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted IOS_UPDATE_ISSUE.
2441828,@AppleSupport No. I have no way to get past it. I have to keep typing in the passwords until 1 time it decides they are correct. It's frustrating,ACCOUNT_LOGIN,UNKNOWN_ESCALATE,No,No,Expected ACCOUNT_LOGIN but rule-based classifier predicted UNKNOWN_ESCALATE.
2447488,@AppleSupport That was fast lol,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2481456,@AppleSupport DM sent. Ty.,CONTEXT_REQUIRED,UNKNOWN_ESCALATE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted UNKNOWN_ESCALATE.
2492327,"Me: Why am I seeing ?'s when ""I"" is typed on my phone?

@711527: I feel like that’s literally the most important letter for their brand since it’s called “i” Phone. 
Otherwise it would just be Phone. 

@AppleSupport @115858 #fixitplease #iphone #phone",FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2518190,@AppleSupport I have an iPhone 6s and just updated my phone to iOS 11.1.1 and yes I have tried restarting my phone.,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
2585648,@AppleSupport why am I️ getting strange characters in my messages when I️ use the letter I️?,FEATURE_SETTINGS,UNKNOWN_ESCALATE,No,No,Expected FEATURE_SETTINGS but rule-based classifier predicted UNKNOWN_ESCALATE.
2586432,@AppleSupport I do see there is an update available I’m going to try that and see if that will fix it,CONTEXT_REQUIRED,IOS_UPDATE_ISSUE,No,Yes,Expected CONTEXT_REQUIRED but rule-based classifier predicted IOS_UPDATE_ISSUE.
2618357,"@AppleSupport Hi good afternoon, my apologies for the show reply. Yeah both. I’ve tried everything. Basically as soon as try to download the blue circle keeps going around and around 10mins later still nothing. 1/2",APPLE_SERVICE_ISSUE,UNKNOWN_ESCALATE,No,No,Expected APPLE_SERVICE_ISSUE but rule-based classifier predicted UNKNOWN_ESCALATE.
2639716,So @AppleSupport my phone just reset all my email accounts and numbers in my phone book Fam..,DEVICE_PERFORMANCE,CONTEXT_REQUIRED,No,No,Expected DEVICE_PERFORMANCE but rule-based classifier predicted CONTEXT_REQUIRED.
